peer to peer,Programming Concept
applications,O
.,O
Hiring,O
Blockchain,Tool/Framework
developer,O
with,O
strong,O
understanding,O
of,O
Web3,O
protocol,O
.,O
Experience,O
working,O
in,O
various,O
methodologies,O
like,O
Agile,Programming Concept
",",O
Scrum,Programming Concept
",",O
Kanban,Tool/Framework
",",O
Waterfall,Programming Concept
and,O
RUP,Programming Concept
and,O
following,O
practices,O
like,O
planning,O
sessions,O
",",O
retrospectives,O
",",O
daily standups,O
",",O
code reviews,Programming Concept
",",O
TDD,Programming Concept
.,O
Experience,O
in,O
building,O
Cross,O
browser,O
responsive,O
mobile,Programming Concept
first,O
web,O
application,O
using,O
HTML5,O
",",O
CSS3,O
",",O
Bootstrap,Tool/Framework
",",O
CSS,Programming Language
preprocessor,O
Less,O
.,O
Experience,O
in,O
working,O
with,O
various,O
Relational Databases,Programming Concept
like,O
Oracle,Tool/Framework
",",O
DB2,O
",",O
MySQL,Tool/Framework
and,O
Teradata,Tool/Framework
building,O
complex,O
queries,O
",",O
functions,O
",",O
triggers,O
and,O
stored procedures,Programming Concept
.,O
Experience,O
in,O
working,O
with,O
NoSQL databases,Programming Concept
(,O
schema,O
on,O
read,O
),O
databases,O
mongoDB,O
and,O
Cassandra,Tool/Framework
and,O
search,O
optimized,O
store,O
elastic search,Tool/Framework
.,O
Experience,O
working,O
in,O
and,O
building,O
Continuous Integration,Programming Concept
(,O
CI,Programming Concept
),O
and,O
Continuous Deployment,Programming Concept
(,O
CD,Programming Concept
),O
by,O
building,O
custom,O
build,O
and,O
deployments,O
jobs,O
in,O
Jenkins,Tool/Framework
",",O
Bamboo,O
and,O
building,O
automation tests,Programming Concept
based,O
on,O
Gherkin,Tool/Framework
",",O
utilizing,O
Cucumber,Tool/Framework
and,O
selenium web driver,Tool/Framework
.,O
Experience,O
in,O
writing,O
custom,O
build,O
scripts,O
with,O
various,O
build,O
tool,O
",",O
Dependency,O
and,O
package,O
managers,O
like,O
Maven,Tool/Framework
",",O
Gradle,Tool/Framework
",",O
Ant,O
",",O
Grunt,Tool/Framework
",",O
Gulp,Tool/Framework
",",O
NPM,O
and,O
Bower,Tool/Framework
.,O
Experience,O
in,O
installing,O
",",O
Administering,O
and,O
configuring,O
web,O
and,O
Application,O
servers,O
like,O
Tomcat,Tool/Framework
",",O
WebSphere,Tool/Framework
",",O
Jboss,Tool/Framework
and,O
Node,O
.JS,O
.,O
Experience,O
in,O
working,O
web applications,Programming Concept
deployed,O
on,O
Amazon Web Services,Tool/Framework
(,O
AWS,Tool/Framework
),O
and,O
configuring,O
services,O
like,O
Aws Route,Tool/Framework
",",O
Cloud Front,Tool/Framework
",",O
Elastic load Balancer,Tool/Framework
",",O
EC2,O
",",O
RDS,O
and,O
Cloud,Tool/Framework
watch,O
.,O
Used,O
Spring JPA,Tool/Framework
module,O
with,O
Hibernate,Tool/Framework
as,O
JPA,Tool/Framework
provider,O
to,O
provide,O
ORM,Programming Concept
feature,O
to,O
application,O
on,O
querying,O
data,O
from,O
oracle,O
database,Programming Concept
.,O
Followed,O
TDD,Programming Concept
for,O
building,O
Rest services,Programming Concept
writing,O
tests,O
using,O
Junit,Tool/Framework
and,O
mocking,O
framework,Programming Concept
Mockito,Tool/Framework
.,O
Designed,O
the,O
application,O
based,O
on,O
the,O
architecture,O
of,O
the,O
MVC,Programming Concept
design pattern,Programming Concept
",",O
by,O
following,O
Agile,Programming Concept
and,O
Scrum,Programming Concept
methodologies,O
.,O
DevOps,IT Specialization
Engineer,IT Specialization
with,O
extensive,O
experience,O
as,O
Java,Programming Language
Developer,IT Specialization
and,O
Production Support,O
using,O
Java,Programming Language
",",O
J2EE,O
",",O
Rest,Programming Concept
API,Programming Concept
.,O
I,O
have,O
experience,O
in,O
integration,O
and,O
deployment,Programming Concept
of,O
applications,O
using,O
Gradle,Tool/Framework
and,O
with,O
different,O
Continuous Integration,Programming Concept
(,O
CI,Programming Concept
),O
and,O
Continuous Deployment,Programming Concept
(,O
CD,Programming Concept
),O
tools,O
like,O
Jenkins,Tool/Framework
.,O
Looking,O
for,O
juniors,O
that,O
are,O
able,O
to,O
demonstrate,O
a,O
strong,O
understanding,O
of,O
Asp,O
.Net,Tool/Framework
security,O
mechanisms,O
such,O
as,O
impersonation,O
",",O
authentication,Programming Concept
and,O
authorization,Programming Concept
.,O
Designing,O
the,O
development,Programming Concept
of,O
presentation,O
layers,O
using,O
HTML,Programming Language
",",O
CSS,Programming Language
",",O
Javascript,Programming Language
",",O
and,O
jQuery,Tool/Framework
.,O
